id,student_id,program,grade,status,age,attendance_rate,quiz_score,exams_score,performance_task,activities,final_grade,gpa
1,2025-869318,BSCS,38.85268,0,23,63.79,87.79197,76.04031,0.0,42.13436,38.85268,2.50838
2,2025-941474,BSIT,38.2639,0,22,47.45,61.49514,71.45878,12.03596,37.91245,38.2639,2.84851
3,2025-918044,BSIT,41.08082,0,20,40.28,64.8521,50.44215,23.60094,34.62203,41.08082,3.05746
4,2025-944199,BSIT,38.74877,0,20,41.54,55.06077,53.93617,25.22572,34.23645,38.74877,3.12614
5,2025-686881,BSCS,44.37289,0,20,48.17,88.4202,61.46237,16.92747,42.81884,44.37289,2.65244
6,2025-470562,BLIS,44.22162,0,21,60.89,80.81825,82.519,10.7356,34.64464,44.22162,2.41212
7,2025-313622,BSIT,45.14208,0,20,41.34,66.94304,78.52347,18.71338,29.17026,45.14208,2.63454
8,2025-740488,BSCS,48.51218,0,19,44.53,59.21321,53.48843,32.51127,40.15739,48.51218,2.93012
9,2025-606186,BSIT,47.45159,0,24,47.45,68.16551,63.97161,26.2038,33.56917,47.45159,2.73799
10,2025-710597,BSCS,45.29174,0,19,44.7,77.91982,68.78012,20.36589,40.03045,45.29174,2.64781
11,2025-578028,BSIT,46.60451,0,19,59.65,47.3325,55.74318,35.92262,40.80375,46.60451,2.96815
12,2025-180578,BSCS,45.10296,0,24,56.2,73.36178,60.09717,26.68505,37.81706,45.10296,2.74549
13,2025-228136,BSIT,49.89795,0,24,49.84,56.81869,73.64386,26.62768,31.82058,49.89795,2.664
14,2025-994395,BSIT,48.44547,0,20,79.12,69.04416,81.43051,15.49665,50.0,48.44547,2.37887
15,2025-565728,BSCS,48.17915,0,18,40.89,56.27587,64.35797,29.57909,43.38451,48.17915,2.84307
16,2025-934079,BSDSA,50.28824,0,18,76.58,97.30401,82.49214,9.30321,44.18723,50.28824,2.12073
17,2025-642966,BSCS,49.80992,0,18,47.67,68.67205,76.25544,23.21481,34.04615,49.80992,2.54792
18,2025-359660,BLIS,49.67456,0,21,75.53,80.42298,87.67589,11.21691,50.0,49.67456,2.20759
19,2025-898187,BSCS,47.54722,0,20,44.21,69.56334,86.00724,17.93731,37.95256,47.54722,2.47381
20,2025-102865,BSIT,48.61304,0,25,61.0,63.56892,77.90056,23.24048,42.17369,48.61304,2.53483
21,2025-564723,BSIT,48.86831,0,18,40.11,69.16179,73.61466,25.5397,33.32312,48.86831,2.621
22,2025-453821,BSIT,49.04132,0,22,49.44,80.71274,73.91829,20.28042,42.84644,49.04132,2.48486
23,2025-120631,BSIT,49.20048,0,24,40.74,71.4689,53.82895,34.05913,39.58494,49.20048,2.83213
24,2025-929915,BLIS,51.00652,0,22,44.16,70.50102,75.51357,23.98953,43.05089,51.00652,2.53708
25,2025-804617,BSIT,51.39685,0,18,49.7,78.08443,84.09205,18.29998,40.23223,51.39685,2.34507
26,2025-168346,BSCS,50.01593,0,25,53.7,73.98286,72.19031,24.91886,43.60109,50.01593,2.5268
